candidate_id,stage,avg_score,vol_participation,activity_participation,depth_activity_coef,depth_deadline_coef,depth_interaction_coef,tail_error,acf_error,deadline_error,ratio_error,monotonic_penalty,total_score,interaction_error,interaction_pattern_penalty,quantile_error
0,stage2,0.9126858501494612,0.12375293840306678,0.16957303983901068,1.227931996735434,0.24786262970698061,0.12263221365128174,0.9680335121882404,1.492799092074605,0.5062987616440978,0.03294444790093201,0.0,0.9126858501494612,0.6830491090935905,0.3333333333333333,2.455558889256211
1,stage2,0.936273911068296,0.0901920863425777,0.15723623719943036,0.916757855362978,0.2536180522560683,0.08572806946321361,1.1594113545240274,1.3276121503546008,0.4962339606494945,0.06029883409013841,0.0,0.936273911068296,0.676793126362954,0.3333333333333333,2.564603342603282
2,stage2,1.0184283821092004,0.14753629955083325,0.18316481420432898,1.295546162071189,0.4430189842936672,0.1418018191489378,1.0792420083087937,1.6453637736803362,0.5863179083895299,0.061247857797852384,0.0,1.0184283821092004,0.7892778292123835,0.3333333333333333,2.6979664140983988
3,stage2,1.2063346567889561,0.13700063981462385,0.20240561898572804,1.5569190691851102,0.22288875268295227,0.10280464157696854,1.0338499584388772,2.469618086813719,0.6859941972973079,0.6353185085870588,0.0,1.2063346567889561,0.804921719177616,0.3333333333333333,3.0391556962418034
4,stage2,1.0381468148383952,0.11870384560478657,0.21562177855573494,0.8639951396620922,0.3717824568520317,0.13123255511524512,1.1703656238218558,1.3894081800307172,0.5364889575778965,0.2127080513859006,0.0,1.0381468148383952,0.7321193950293888,0.3333333333333333,3.199784509145984
5,stage2,0.7583187234316565,0.054120411185505965,0.11353974024115526,1.4499199866435644,0.28606143216391233,0.09213028497747547,0.8308815986055694,1.3928765670047374,0.40544064042353806,0.21671092156503996,0.0,0.7583187234316565,0.5685182452257648,0.3333333333333333,1.6372340435284485
6,stage2,0.8690468753032362,0.07559028234404,0.132411602923381,0.9970106516048673,0.3336848747350448,0.12181378918513688,1.0887263185365466,1.125344191291899,0.4384119750928117,0.0859957939856652,0.0,0.8690468753032362,0.6437558801259718,0.3333333333333333,2.4544851407301533
7,stage2,0.8694659460868945,0.08792696409482184,0.09778135741855515,0.7768323015043239,0.37510678364869715,0.11022664582894592,1.1466029360853767,0.6317236240018343,0.35912488943985116,0.43734665659867084,0.0,0.8694659460868945,0.6526410146952786,0.3333333333333333,2.91955557172148
8,stage2,0.7076606215416978,0.060276523984654176,0.08784233378900988,1.1406053808447791,0.31059742868766915,0.09726559183366286,0.9599758406019756,0.8420552258210958,0.33704700748928823,0.14371462170992588,0.0,0.7076606215416978,0.5906738915418256,0.3333333333333333,1.7183260473280404
9,stage2,0.9668071580342816,0.10328443226126818,0.1390438316371063,1.38935023251192,0.40180892200217955,0.14834666849372238,1.0668769911559481,1.6652819189216008,0.5188204419899802,0.3166530194560371,0.0,0.9668071580342816,0.7314786635106499,0.3333333333333333,2.275003473303413
