condition,horizon,mean_after_pos,se_after_pos,n_pos,tstat_pos,pval_pos,mean_after_neg,se_after_neg,n_neg,tstat_neg,pval_neg
Low (≤93),1,0.015509702885156905,0.00071165676189972,1409,21.793796835084922,5.653599109997044e-91,-0.01594899611505894,0.0007451246822842444,1345,-21.40446625142776,1.0634535510087258e-87
Low (≤93),6,0.07048945914779496,0.002185366737843126,1409,32.25520821158164,2.2712221104139706e-171,-0.06801923816092807,0.002032464271577252,1345,-33.46638812407913,4.077022810519695e-179
Low (≤93),12,0.10665058236644914,0.003379115097039954,1409,31.561689763060514,8.689920696241158e-166,-0.10327493535928915,0.003257047522671325,1344,-31.708145073236878,3.5514066452938652e-165
Low (≤93),24,0.12157015387986124,0.005518978306312477,1409,22.027655687794997,1.2285577367843292e-92,-0.11497672420122888,0.005603686781206923,1344,-20.518049757318018,1.3450779239226242e-81
High (>93),1,0.058647289026653705,0.001770073852220458,1374,33.13267915521377,2.186219255674219e-177,-0.05941660567185991,0.00189594153129852,1361,-31.338838614482906,9.89143226674746e-163
High (>93),6,0.2930339945089535,0.006577531467268501,1374,44.55075524414691,6.665713329399413e-269,-0.28081984471772564,0.006533292980628232,1361,-42.98289477456167,1.16165995098285e-255
High (>93),12,0.47859193764507146,0.011269157661740086,1374,42.469184655206206,2.324186221177236e-252,-0.4581217445727413,0.01101106853258439,1360,-41.60556654579429,1.1335775347882327e-244
High (>93),24,0.668779391026051,0.019405634473033364,1374,34.463155118963336,4.688206597262448e-188,-0.6474218911713047,0.019517234820082066,1360,-33.17180415870932,2.934062992901978e-177
