condition,horizon,mean_after_pos,se_after_pos,n_pos,tstat_pos,pval_pos,mean_after_neg,se_after_neg,n_neg,tstat_neg,pval_neg
Last 30d,1,0.07533150524755167,0.004573904886334656,359,16.469845158481053,9.13754659749544e-46,-0.08339240335360769,0.005023292255104326,344,-16.601145049617614,7.66248424228007e-46
Last 30d,6,0.3834386296921906,0.016870634018649112,359,22.72816950852768,2.0047316300612875e-71,-0.38239334061620905,0.01635737669451684,344,-23.377424617505522,5.794881374638251e-73
Last 30d,12,0.6196006830376095,0.02913954094033478,359,21.26322732078328,1.8393116690091413e-65,-0.6318156990092013,0.027742355211464047,344,-22.77440737072368,1.3646558219379135e-70
Last 30d,24,0.8669537673878155,0.04916852581197023,359,17.632291248739307,1.5680637201545231e-50,-0.9152775059323626,0.04970589660792753,344,-18.413861702403857,3.852350664998558e-53
Earlier (>30d),1,0.0339888335570538,0.0008660908970608479,2601,39.24395657822724,5.777674990235129e-265,-0.033336933536886645,0.0008854747852771026,2477,-37.64865368408441,1.140708708035386e-245
Earlier (>30d),6,0.18583046327415215,0.0030652984017817977,2601,60.62393898294944,0.0,-0.17611964243180203,0.0029991542843794575,2477,-58.72310182543417,0.0
Earlier (>30d),12,0.3280492564689249,0.005027405404744873,2601,65.25219871055386,0.0,-0.30409622702104383,0.004736420088495061,2477,-64.20381244469948,0.0
Earlier (>30d),24,0.5173631935719744,0.008623649049588565,2601,59.99353528848183,0.0,-0.48050651024686125,0.00781463112249193,2477,-61.48806037227734,0.0
