ttr_phase,activity_bin,mean_abs_r,std_r,n
Earlier,Low,0.004467054753140779,0.013334787195723922,28658
Earlier,Mid,0.010826627913969612,0.023801941017268385,26663
Earlier,High,0.01859854561462978,0.03695052106019809,23399
Last 30d,Low,0.006956636060293574,0.02015008408678762,1178
Last 30d,Mid,0.01510462885317902,0.03637082334382196,3117
Last 30d,High,0.03165412123433598,0.065201451455577,6032
