period,q90,q95,q99,mean_abs_r,std_r
Overall,0.04139136836012387,0.06628763246395607,0.1318524424842327,0.012331558713065032,0.03041762056545839
Earlier,0.03756383188824046,0.05953868565519717,0.11088763867556882,0.01082157779500003,0.025737964007539433
Last 30d,0.08027800444004449,0.12778988794760981,0.22127924306032115,0.02384174539555529,0.054115899230157034
