lag,acf,ci_lower,ci_upper
0,1.0,0.0,0.0
1,0.392044743692541,-0.006568080163357304,0.006568080163357304
2,0.3590146534502349,-0.00751004224130597,0.00751004224130597
3,0.3411875293978808,-0.008217141332379607,0.008217141332379607
4,0.31145562948260924,-0.008807105028483586,0.008807105028483586
5,0.29216020503869305,-0.009270091369577571,0.009270091369577571
6,0.26865164823765947,-0.009659150652818915,0.009659150652818915
7,0.24317589108196322,-0.009976286495948061,0.009976286495948089
8,0.23181858232233374,-0.010228801489929357,0.010228801489929357
9,0.22031270280749474,-0.010452990955070712,0.010452990955070712
10,0.20417689937809355,-0.010651423388004122,0.010651423388004122
11,0.1934986730412669,-0.010818948733448602,0.010818948733448602
12,0.18699410932188923,-0.01096722848009321,0.01096722848009321
13,0.1804214419604496,-0.01110391882114714,0.01110391882114714
14,0.17125840997428662,-0.011229673628789294,0.011229673628789294
15,0.15784090266810957,-0.011341785362327717,0.011341785362327717
16,0.1517560091927058,-0.0114361548393824,0.0114361548393824
17,0.1494421937226043,-0.01152270112546211,0.01152270112546211
18,0.1386635930421409,-0.011606012036406876,0.011606012036406876
19,0.13708642018409176,-0.011677262504981606,0.011677262504981606
20,0.12704170840635057,-0.011746483749239145,0.011746483749239145
21,0.12584097007485623,-0.011805608597646497,0.01180560859764651
22,0.1261298538164655,-0.011863334686174898,0.011863334686174898
23,0.12360545825707674,-0.011921044655961666,0.011921044655961652
24,0.12496774258802747,-0.011976205924581415,0.011976205924581415
