period,q90,q95,q99,mean_abs_r,std_r
Overall,0.01431212888846023,0.04595869089379989,0.18426741897228796,0.00914217987143867,0.05637245287339268
Earlier,0.007886941355400625,0.04105245512822453,0.1828229355961355,0.007924399503066242,0.048739143773859135
Last 30d,0.045151657074481065,0.08751426862708289,0.2390155102753287,0.018424998753812795,0.09640854851415058
