condition,horizon,mean_after_pos,se_after_pos,n_pos,tstat_pos,pval_pos,mean_after_neg,se_after_neg,n_neg,tstat_neg,pval_neg
Last 30d,1,-0.0514848550893527,0.04833050437260055,85,-1.065266248670486,0.28980792854641924,0.05245365007115965,0.03208557496061018,69,1.6348047412444475,0.10671133840345151
Last 30d,6,-0.04528862200138591,0.06574173093651471,85,-0.6888869726463409,0.49279279324009795,0.06068203407680631,0.08741291992285992,69,0.6941998291597734,0.4899218300630049
Last 30d,12,-0.007902553782863522,0.07717058253167895,85,-0.10240370778099908,0.9186803077029925,0.07874904702037139,0.09432902226363063,69,0.8348337036748207,0.40673482141688233
Last 30d,24,0.04808262335964093,0.08877186241314183,85,0.5416426112123874,0.5894985449996393,0.12223507894833116,0.09575258778707074,69,1.2765720673800556,0.2060958586150284
Earlier (>30d),1,-0.023685579899458874,0.0058469121320817805,790,-4.050955335808283,5.6050114233234045e-05,0.0071460725732810865,0.005850364024324774,850,1.2214748592684124,0.22224534438584415
Earlier (>30d),6,-0.044613842248878925,0.009706853280657316,790,-4.5961179136991985,5.010458790495427e-06,0.015425228714988543,0.008597726663151558,850,1.794105502457822,0.07315204105629149
Earlier (>30d),12,-0.044004392307669504,0.011507124809927724,790,-3.8240996803741014,0.00014160276549057287,0.008642145444441399,0.011192748470099318,850,0.7721200442883456,0.44025820110449637
Earlier (>30d),24,-0.05405645044665413,0.014041434235178866,790,-3.8497812645964036,0.00012779377935480545,-0.018480311977116592,0.014097992923155398,850,-1.3108470175753462,0.19026391042365481
