condition,horizon,mean_after_pos,se_after_pos,n_pos,tstat_pos,pval_pos,mean_after_neg,se_after_neg,n_neg,tstat_neg,pval_neg
Low (≤16),1,-0.02912563872832893,0.010287836090804617,495,-2.831075307893149,0.004828362101154822,0.02211770139762953,0.008494938833322425,524,2.6036328020244444,0.009486212852218734
Low (≤16),6,-0.08342478354474692,0.017258282523245214,495,-4.833898357636799,1.7904053528623202e-06,0.04395499127234946,0.012704543573075202,524,3.459785156351738,0.0005847531808502081
Low (≤16),12,-0.07854170184714236,0.02009922272654355,495,-3.9076984675341784,0.00010617072978626818,0.04026719309604324,0.016594793118586422,524,2.426495636811728,0.015582402468789077
Low (≤16),24,-0.09900877615807571,0.02283400020634319,495,-4.336024142216285,1.7593316573747006e-05,0.0405941272826667,0.020540935432494033,524,1.9762550452522338,0.04865091272581231
High (>16),1,-0.01127223068819478,0.009390159235549497,394,-1.2004301956371612,0.23069538404401005,-0.0017424809591836184,0.008221474300588848,407,-0.21194263893263232,0.8322581412217875
High (>16),6,-0.00402522000640612,0.01854222848060177,394,-0.21708393953926108,0.8282555815265208,-0.006865638895790666,0.014430333399022981,407,-0.4757782586128959,0.6344882553884904
High (>16),12,0.012694167268372459,0.022433276207982047,394,0.5658632805428443,0.5718096678498783,-0.013180226378133474,0.018262069834286677,407,-0.7217268632599279,0.4708778615646165
High (>16),24,0.027820645576441014,0.02869732139018468,394,0.9694509532153228,0.33291648557353526,-0.002696482482405869,0.025941163426148783,406,-0.10394608900569993,0.9172635854045078
