period,n,mean_abs_r,std_r,kurtosis,skewness,acf1_abs_r,mean_trade_rate
Earlier,78720,0.007924399503066242,0.048739143773859135,1100.775306168729,-8.522312173491533,0.26639746442504647,78.63163309370793
Last 30d,10327,0.018424998753812795,0.09640854851415058,1021.4100725370351,-11.949110771712077,0.3166197719079319,106.31155000484074
