ttr_phase,activity_bin,mean_abs_r,std_r,n
Earlier,Low,0.009184981882492598,0.05644220334288911,27990
Earlier,Mid,0.00788392612136218,0.05069130081486919,28924
Earlier,High,0.006360011320559804,0.03283535241976185,21806
Last 30d,Low,0.013530061275106718,0.1080800345264825,4149
Last 30d,Mid,0.02298988180118965,0.10795130634165791,2616
Last 30d,High,0.020774061512716123,0.06917803654236383,3562
