lag,acf,ci_lower,ci_upper
0,1.0,0.0,0.0
1,0.2862297335075032,-0.006568080163357304,0.006568080163357304
2,0.14677898908704862,-0.00708578332937862,0.00708578332937862
3,0.11955289523577428,-0.0072157559531692145,0.007215755953169228
4,0.10303331972581173,-0.007300706520826497,0.007300706520826497
5,0.0999082556988896,-0.007363168181972218,0.007363168181972218
6,0.1035703503647215,-0.007421418787203746,0.007421418787203746
7,0.10093003657600999,-0.007483512524072103,0.007483512524072103
8,0.0975980520982259,-0.007542007455477603,0.007542007455477603
9,0.08896550560115257,-0.0075962964708169295,0.0075962964708169295
10,0.08814702512922729,-0.007641113085359988,0.007641113085359988
11,0.0886266293959614,-0.007684854648412259,0.007684854648412259
12,0.09588013896890081,-0.007728821878884656,0.007728821878884656
13,0.08269679730697685,-0.007779964898887562,0.007779964898887562
14,0.12963648471470193,-0.007817793656006808,0.007817793656006822
15,0.12098631390501793,-0.007909985810871822,0.007909985810871822
16,0.06824662023574345,-0.007989418364748133,0.007989418364748133
17,0.08647704414996224,-0.008014528097631424,0.008014528097631424
18,0.08447687029193784,-0.008054680733808564,0.008054680733808564
19,0.0789803384928912,-0.008092811666439215,0.008092811666439215
20,0.09481083980905201,-0.00812599545422886,0.00812599545422886
21,0.09982908412027607,-0.008173577886223707,0.008173577886223707
22,0.08353567405340032,-0.008226008887722139,0.008226008887722139
23,0.08436999405896851,-0.008262523680576547,0.008262523680576547
24,0.08304196716173602,-0.008299605987284325,0.008299605987284325
