condition,horizon,mean_after_pos,se_after_pos,n_pos,tstat_pos,pval_pos,mean_after_neg,se_after_neg,n_neg,tstat_neg,pval_neg
Last 30d,1,0.06838040356544658,0.005329226358861792,362,12.831206438011234,2.6193342002696273e-31,-0.05314433077293625,0.00575874348574641,315,-9.228459455517497,4.1759856965254384e-18
Last 30d,6,0.38848800224118174,0.02015642521054744,362,19.273655828509415,2.0148302343014917e-57,-0.2667327075869581,0.015580388725127037,314,-17.119772317155924,7.873009011177772e-47
Last 30d,12,0.6580631709387686,0.03583963651782743,361,18.36132379890163,1.3092457115752447e-53,-0.45480794943036695,0.026188913533610438,312,-17.366430602272736,1.0633260358610578e-47
Last 30d,24,0.9222291275856735,0.06120969134519398,361,15.066717497148177,4.042998556746437e-40,-0.6551606733018581,0.050859728376040816,311,-12.88171789785833,1.0539220106359034e-30
Earlier (>30d),1,0.010264348637021739,0.0012019580951822823,2454,8.539689260518774,2.3235003111714574e-17,-0.010211110844314626,0.0012603972412761743,2454,-8.101502058173104,8.466628894915738e-16
Earlier (>30d),6,0.10777572976999694,0.003576269226060768,2452,30.136358019306904,5.357256766943304e-170,-0.1113036164734847,0.0035945708823010183,2453,-30.96436824254113,5.672911462439385e-178
Earlier (>30d),12,0.21645985086741762,0.005726974608000106,2451,37.796544542914724,1.0675573312458048e-246,-0.21960622279826317,0.005606307483367482,2453,-39.171276896563406,4.524731180622162e-261
Earlier (>30d),24,0.36061957441085046,0.009454754789434285,2450,38.14161048511209,2.91131047530813e-250,-0.3610799171588711,0.00940008331101754,2450,-38.41241670014358,4.4209543137448253e-253
