condition,horizon,mean_after_pos,se_after_pos,n_pos,tstat_pos,pval_pos,mean_after_neg,se_after_neg,n_neg,tstat_neg,pval_neg
Low (≤94),1,-0.0020780287419924505,0.0017188697920568622,1274,-1.2089506439611144,0.22690630195022532,0.0003546518487066798,0.0018857851116107945,1291,0.18806588646982383,0.8508545807748008
Low (≤94),6,0.050380827737052575,0.00405809822743558,1273,12.414886213557613,1.732607089568597e-33,-0.05224397860473903,0.00409216571160698,1290,-12.76682868842645,3.09804079959482e-35
Low (≤94),12,0.09020860506715342,0.0059641112296015455,1273,15.125238546763343,1.1848906790102503e-47,-0.09173238829839782,0.006152877788551243,1288,-14.908859147029657,1.7281851039832443e-46
Low (≤94),24,0.10139767103002356,0.008897605849692672,1272,11.396062350134997,1.027012094994611e-28,-0.08940673656942764,0.009367018847716357,1286,-9.54484431204328,6.593877063389726e-21
High (>94),1,0.05480967339788682,0.0019617425181873804,1377,27.939279946142015,1.9417760406434156e-136,-0.04593580565759707,0.0018262778394671983,1357,-25.152692906243914,6.793121583867816e-115
High (>94),6,0.2607718137302334,0.0075270595424683,1377,34.64457963417679,1.2827582491313525e-189,-0.2230819092505562,0.006103155725982193,1354,-36.55189532537369,4.876094939220215e-204
High (>94),12,0.4297889679332166,0.013307550475091216,1377,32.2966250428797,8.588504656952227e-171,-0.35882610474944027,0.010397938537926782,1349,-34.50935042947327,1.5185824642075145e-187
High (>94),24,0.5904772210045678,0.02263193388805909,1377,26.09044476380834,3.0078059686068717e-122,-0.48816574472223884,0.0186288395846085,1348,-26.20483914229261,1.1778370120550149e-122
