period,n,mean_abs_r,std_r,kurtosis,skewness,acf1_abs_r,mean_trade_rate
Earlier,78720,0.015055137782381874,0.034792733279091714,16.07417271160493,-0.2034888516718234,0.32629635230483883,92.18204333578886
Last 30d,10327,0.02813369352945672,0.06108611856008053,12.73616461772878,0.2040979146444828,0.3506876438236625,123.75089553683803
