period,q90,q95,q99,mean_abs_r,std_r
Overall,0.05336508458180533,0.08638453402179953,0.16730849918657867,0.01657189011766596,0.03876773381604501
Earlier,0.048656578789660274,0.07916973000089692,0.14845594290519404,0.015055137782381874,0.034792733279091714
Last 30d,0.08989220749650492,0.1434502779388951,0.24607840867779596,0.02813369352945672,0.06108611856008053
