ttr_phase,activity_bin,mean_abs_r,std_r,n
Earlier,Low,0.01032253014558738,0.030012439364043846,28914
Earlier,Mid,0.01692435791854991,0.03864818466605942,26480
Earlier,High,0.018799528934081544,0.035681957183343015,23326
Last 30d,Low,0.01868356834439145,0.05395451535345847,1207
Last 30d,Mid,0.021912126290110467,0.05348514802533688,3057
Last 30d,High,0.03315194062644753,0.06582173193003554,6063
