ttr_phase,activity_bin,mean_abs_r,std_r,n
Earlier,Low,0.00733650164363388,0.01749160198463999,30575
Earlier,Mid,0.016395654867498825,0.031568900923992574,27551
Earlier,High,0.02662407312924844,0.047288796667530685,20594
Last 30d,Low,0.005913049687740512,0.01633438663557242,1398
Last 30d,Mid,0.01178239087715111,0.0261770648790381,3172
Last 30d,High,0.0201170517873793,0.040246532439735215,5757
