lag,acf,ci_lower,ci_upper
0,1.0,0.0,0.0
1,0.21766034075623586,-0.006568080163357304,0.006568080163357304
2,0.20453312279265673,-0.006872208507882782,0.006872208507882782
3,0.19128217022772345,-0.007129981968621996,0.007129981968621996
4,0.17212565352751583,-0.0073480274105159615,0.0073480274105159615
5,0.15794510540516687,-0.007519955186540278,0.007519955186540278
6,0.13918037904969607,-0.00766173005274004,0.00766173005274004
7,0.1310213068098933,-0.007770034756602637,0.007770034756602651
8,0.12020154803655757,-0.007864767116551291,0.007864767116551305
9,0.11191795672275832,-0.007943623950388168,0.007943623950388168
10,0.10662577287521506,-0.008011358477046523,0.008011358477046523
11,0.09594964176009689,-0.008072346586187898,0.008072346586187898
12,0.08492525520758676,-0.008121397412830383,0.008121397412830383
13,0.08729314647811842,-0.008159618154899101,0.008159618154899101
14,0.07478034375851149,-0.008199806410649296,0.008199806410649296
15,0.0689828940343496,-0.008229174195010375,0.008229174195010375
16,0.06349897041281914,-0.008254082643681403,0.00825408264368141
17,0.06223047161949319,-0.008275129541739035,0.008275129541739035
18,0.0586081334941352,-0.00829529367083326,0.00829529367083326
19,0.05297721082519463,-0.008313137746192148,0.008313137746192148
20,0.04835937487937357,-0.008327689326373858,0.008327689326373858
21,0.053249784079766015,-0.008339795256964454,0.008339795256964454
22,0.055791954938681984,-0.00835444991875367,0.00835444991875367
23,0.044420515845657156,-0.00837050768080673,0.00837050768080673
24,0.047046731563152366,-0.008380670839648066,0.008380670839648066
