condition,horizon,mean_after_pos,se_after_pos,n_pos,tstat_pos,pval_pos,mean_after_neg,se_after_neg,n_neg,tstat_neg,pval_neg
Low (≤76),1,0.012598818322016805,0.0006186806714473771,1671,20.36400828967617,1.615313604718078e-82,-0.013462789940963223,0.0006364053066138374,1736,-21.154427533917893,1.4898149191633515e-88
Low (≤76),6,0.06582422436618575,0.0019913574935667504,1671,33.0549509964115,9.023040677454412e-185,-0.06448958058051997,0.001907266004178518,1736,-33.812578024897164,5.961541369798952e-193
Low (≤76),12,0.10451880104900167,0.003217589097861871,1671,32.48357632690133,8.110441654734356e-180,-0.1034451947214594,0.0030735579802975747,1733,-33.6564969278517,1.689569373471574e-191
Low (≤76),24,0.13867969864594334,0.005179841435460944,1670,26.772962140607014,1.139372953282132e-131,-0.13044428410952194,0.00511386975662232,1733,-25.50794023265848,4.085978010889634e-122
High (>76),1,0.043648268238170355,0.001187727329988658,1756,36.749401260798784,9.241005267187883e-220,-0.04200553508220981,0.0012152441688834345,1645,-34.565510502144164,3.0142249664056233e-197
High (>76),6,0.20662323851939707,0.0037876308327584123,1756,54.552105958256725,0.0,-0.1986765363268017,0.003977291813301325,1645,-49.95271799327483,0.0
High (>76),12,0.3200712696790762,0.006310939462769098,1756,50.71689747102028,0.0,-0.304080156198056,0.006855320367600662,1644,-44.3568119201529,3.3705145213503545e-283
High (>76),24,0.39711635387217087,0.011952330200673027,1756,33.22501530704108,3.344606905132606e-188,-0.35032897339149,0.012457984090030702,1640,-28.120839684795797,2.5875538403944608e-142
