quantile,trade_rate_coef,trade_rate_p,ttr_coef,ttr_p,pseudo_r2
0.5,3.010104298635483e-05,0.0,3.6667438960256083e-06,3.0948049775241173e-121,0.004425791842776472
0.75,0.000359100747275907,0.0,3.879518393400062e-05,2.147871242428543e-128,0.07107061429227046
0.9,0.0007277632432578729,0.0,5.583326109362744e-05,5.711538944408675e-62,0.12656004293282197
0.95,0.0009248294611320357,0.0,5.018702669364896e-05,8.320745485272721e-28,0.15789860709608472
