candidate_id,stage,avg_score,baseline_participation,deadline_ramp,anchor_phi,anchor_sigma,jump_prob,jump_scale,informed_strength,noise_scale,herding_strength,trend_memory,base_depth,impact_lambda,no_move_threshold,tail_error,acf_error,deadline_error,ratio_error,monotonic_penalty,total_score
0,stage1,2.5330023843648717,0.0941333850741109,2.595835031595511,0.718214196107214,0.01732795668681126,0.008411581037375116,0.11760650534007089,1.4686236215379544,0.6231582254453413,0.6318629715049521,0.8872178375318575,6.085219997712178,0.5999060254130637,1.1027297717957136,5.269971968001872,0.7962204547935758,1.7477631703927787,0.5251628926762801,0.0,2.5330023843648717
1,stage1,2.377623828379142,0.13055729997565624,1.7390728730990357,0.9344853063593634,0.007708150329943792,0.011558570827053895,0.26394153473001564,0.5594122822497066,0.26526178807581524,1.2163324808713623,0.8349603299559568,9.324518571399857,0.4786086501234822,0.36710648182635497,4.838837833089394,0.7135832501080965,1.8046780346740394,0.5446526560231997,0.0,2.377623828379142
2,stage1,0.6837980807783103,0.08134184566620585,1.3034235927045426,0.7136227757236531,0.0033670377221522814,0.0032759364490951757,0.5150389990440387,1.404401259167407,0.19171658474910402,1.4975371052564272,0.909056704732055,3.5916473108096945,0.15343535534508324,0.9687421478554009,1.2726570090900082,0.34152035810772047,0.3905473054588909,0.5535121170515459,0.0,0.6837980807783103
3,stage1,1.4880587683654671,0.06281979371480433,0.6028180094838906,0.947214993394653,0.03536771749230269,0.01539649003062682,0.6109993202704425,1.228155371949608,0.5384535415686664,0.8731856801594238,0.972170581220702,8.138983023479316,0.3692410084701344,0.14193420159497525,2.779145763739941,0.5126402322276455,1.3346941255530338,0.5352416161131831,0.0,1.4880587683654671
4,stage1,2.482765669947144,0.1197921531182376,2.355444550613476,0.8923426480999217,0.036915355374545884,0.017837527664344082,0.34602126187828564,0.6231886358443299,0.6656489642912892,1.0023190095165408,0.8601032161567599,5.583304672386497,0.25440618764715345,0.7262203356874358,5.132819429570883,0.6368078310032205,1.9102237021432984,0.4952098631070548,0.0,2.482765669947144
5,stage1,2.1898671033747923,0.17388908778271026,1.5908467462663343,0.7892766069945578,0.020714006952207296,0.013966411883720966,0.6967490650082689,1.835686333769361,0.38966375859793345,0.3027895134669636,0.955286986866845,6.861877460221939,0.5034478275408713,1.3415296710909228,4.780152915043857,0.5414057846428072,1.3305893279280383,0.4881480496673124,0.0,2.1898671033747923
6,stage1,4.946387993151416,0.14987733821505309,2.336202854367917,0.641371368849721,0.02655363489698438,0.0026958188075875155,0.4420591479869077,0.8389476941158602,0.4289923913472434,0.4023242023494019,0.9176259528301121,2.6135999088998787,0.4254954360041472,0.7890249666760325,10.76162233123713,0.6115767623589673,3.9203822938746598,0.46830413160013545,0.0,4.946387993151416
7,stage1,0.7436634007717932,0.043799904146258305,0.7457522930179133,0.6225237161323488,0.04191041013919196,0.010134857145612141,0.2135562067162362,1.9324863267995545,0.10161330811600458,0.6062477956904027,0.9436536363878821,1.8651531802420966,0.10422852186597131,1.2310533768773457,0.960741082634142,0.33547489629180965,0.7289336846461794,0.9130187661534614,1.0,0.7436634007717932
8,stage1,2.132759116269518,0.15803854767621078,1.1513384641153115,0.8655343540793498,0.030487826514594366,0.019606412042478552,0.8631941909020019,1.0353571978946245,0.29819165326876274,1.4331388526166753,0.8128192204184741,8.567441052511853,0.31091588807803583,0.5464821510749467,4.152126132396216,0.8058819262235326,1.718865917868978,0.4832800890771499,0.0,2.132759116269518
9,stage1,2.3242994606313316,0.10323854308529315,2.0631334981221072,0.8270252536876155,0.012581540887610664,0.004986666774568706,0.7962594212158803,1.7319461636110272,0.4627011667902945,1.071052910376579,0.8506047701202651,4.419389001580374,0.23429928113826254,0.2736231585810398,4.6510607317258055,0.6932766949514125,1.8753302606634874,0.5427646562357442,0.0,2.3242994606313316
