condition,horizon,mean_after_pos,se_after_pos,n_pos,tstat_pos,pval_pos,mean_after_neg,se_after_neg,n_neg,tstat_neg,pval_neg
Last 30d,1,0.03587693435820626,0.002338253224164148,391,15.343476911501378,6.61105427210848e-42,-0.03396397755792361,0.0023385027465484673,382,-14.523813413541212,2.400895593183831e-38
Last 30d,6,0.17545792524824974,0.007224288412714865,391,24.287225983314972,4.959192997020212e-80,-0.16250360864857283,0.007770402550785257,382,-20.913151871668557,3.13741407973744e-65
Last 30d,12,0.2867088932966038,0.012066146547908564,391,23.761429728888825,8.153322251014616e-78,-0.26419703810505557,0.012124442940174273,381,-21.790447561895004,6.93228900885461e-69
Last 30d,24,0.4125448488175229,0.022056078598441133,391,18.704360658502573,3.4814346022856105e-56,-0.3479684806907898,0.020814599720821923,379,-16.717519690887876,2.311306874737443e-47
Earlier (>30d),1,0.029495192993795563,0.0007893065925525173,2983,37.36848681120457,5.029272362212177e-251,-0.027418025272163096,0.0007775712129654179,2887,-35.26111154192446,8.374780106922835e-227
Earlier (>30d),6,0.15334595037664375,0.0024572022946872264,2983,62.406726018527884,0.0,-0.14840860531652195,0.0024892527413971945,2885,-59.61974163909992,0.0
Earlier (>30d),12,0.27037793506728175,0.0038955730058550134,2983,69.40646078533402,0.0,-0.2600614519108027,0.004002102358381179,2880,-64.98120953008198,0.0
Earlier (>30d),24,0.42247585967311374,0.006564511273822913,2983,64.3575495647036,0.0,-0.40974081584133665,0.006793555590145417,2879,-60.313161555003354,0.0
