period,q90,q95,q99,mean_abs_r,std_r
Overall,0.05416765927162356,0.07914104073467322,0.12742491316511595,0.015562348439566023,0.0326170616937982
Earlier,0.054113770552522526,0.07865691631022322,0.12630023501406368,0.015552926664536436,0.03244452815299874
Last 30d,0.05453142570926062,0.08308144926963802,0.13919331824385017,0.015634168148128902,0.033904277058554824
